# 2026 WorldTeam rosters, from English Wikipedia "List of 2026 UCI WorldTeams and riders" (CC BY-SA 4.0), fetched 2026-09-25.
# Used offline by: npm run build:real. Refresh from Wikipedia with: npm run build:real:wiki
# Format: "## Team name" then: Name | NAT (IOC) | birth year | type. Types come from Wikipedia rider types or ratings.csv.

## Alpecin–Premier Tech
Floris Van Tricht | BEL | 2001 | rouleur
Ethan Vernon | GBR | 2000 | sprinter
Stephen Williams | GBR | 1996 | puncheur

## Red Bull–Bora–Hansgrohe
Giovanni Aleotti | ITA | 1999 | rouleur
Adrien Boichis | FRA | 2003 | rouleur
Mattia Cattaneo | ITA | 1990 | gc
Nico Denz | GER | 1994 | rouleur
Jarrad Drizners | AUS | 1999 | rouleur
Haimar Etxeberria | ESP | 2003 | rouleur
Remco Evenepoel | BEL | 2000 | gc
Finn Fisher-Black | NZL | 2001 | puncheur
Alexander Hajek | AUT | 2003 | rouleur
Emil Herzog | GER | 2004 | rouleur
Jai Hindley | AUS | 1996 | gc
Florian Lipowitz | GER | 2000 | gc
Arne Marit | BEL | 1999 | rouleur
Daniel Martínez | COL | 1996 | gc
Jordi Meeus | BEL | 1998 | sprinter
Gianni Moscon | ITA | 1994 | cobbles
Giulio Pellizzari | ITA | 2003 | climber
Laurence Pithie | NZL | 2002 | cobbles
Primož Roglič | SLO | 1989 | gc
Callum Thornley | GBR | 2003 | rouleur
Jan Tratnik | SLO | 1990 | rouleur
Luke Tuckwell | AUS | 2004 | climber
Mick van Dijke | NED | 2000 | rouleur
Tim van Dijke | NED | 2000 | cobbles
Maxim Van Gils | BEL | 1999 | puncheur
Danny van Poppel | NED | 1993 | sprinter
Gianni Vermeersch | BEL | 1992 | cobbles
Aleksandr Vlasov | RUS | 1996 | gc
Frederik Wandahl | DEN | 2001 | rouleur
Ben Zwiehoff | GER | 1994 | climber

## Soudal–Quick-Step
Ayco Bastiaens | BEL | 1996 | rouleur
Steff Cras | BEL | 1996 | climber
Alberto Dainese | ITA | 1998 | sprinter
Pascal Eenkhoorn | NED | 1997 | rouleur
Gianmarco Garofoli | ITA | 2002 | climber
Gil Gelders | BEL | 2002 | rouleur
Ethan Hayter | GBR | 1998 | tt
Yves Lampaert | BEL | 1991 | cobbles
Mikel Landa | ESP | 1989 | gc
Junior Lecerf | BEL | 2002 | rouleur
Paul Magnier | FRA | 2004 | sprinter
Tim Merlier | BEL | 1992 | sprinter
Valentin Paret-Peintre | FRA | 2001 | climber
Casper Pedersen | DEN | 1996 | rouleur
Andrea Raccagni Noviero | ITA | 2004 | rouleur
Pepijn Reinderink | NED | 2002 | rouleur
Laurenz Rex | BEL | 1999 | cobbles
Maximilian Schachmann | GER | 1994 | gc
Jasper Stuyven | BEL | 1992 | cobbles
Martin Svrček | SVK | 2003 | rouleur
Dylan van Baarle | NED | 1992 | cobbles
Fabio Van den Bossche | BEL | 2000 | rouleur
Dries Van Gestel | BEL | 1994 | cobbles
Bert Van Lerberghe | BEL | 1992 | rouleur
Ilan Van Wilder | BEL | 2000 | gc
Warre Vangheluwe | BEL | 2001 | cobbles
Mauri Vansevenant | BEL | 1999 | puncheur
Louis Vervaeke | BEL | 1993 | climber
Jonathan Vervenne | BEL | 2003 | tt
Filippo Zana | ITA | 1999 | climber

## Team Bahrain Victorious
Nikias Arndt | GER | 1991 | rouleur
Phil Bauhaus | GER | 1994 | sprinter
Pello Bilbao | ESP | 1990 | gc
Alessandro Borgo | ITA | 2005 | rouleur
Alberto Bruttomesso | ITA | 2003 | rouleur
Santiago Buitrago | COL | 1999 | climber
Damiano Caruso | ITA | 1987 | gc
Roman Ermakov | RUS | 2004 | rouleur
Žak Eržen | SLO | 2005 | rouleur
Afonso Eulálio | POR | 2001 | climber
Matevž Govekar | SLO | 2000 | gc
Kamil Gradek | POL | 1990 | cobbles
Rainer Kepplinger | AUT | 1997 | rouleur
Lenny Martinez | FRA | 2003 | climber
Fran Miholjević | CRO | 2002 | rouleur
Pau Miquel | ESP | 2000 | climber
Matej Mohorič | SLO | 1994 | puncheur
Jakob Omrzel | SLO | 2006 | rouleur
Mathijs Paasschens | NED | 1996 | rouleur
Alec Segaert | BEL | 2003 | tt
Daniel Skerl | ITA | 2003 | rouleur
Robert Stannard | AUS | 1998 | puncheur
Oliver Stockwell | GBR | 2002 | rouleur
Antonio Tiberi | ITA | 2001 | gc
Attila Valter | HUN | 1998 | climber
Max van der Meulen | NED | 2004 | climber
Vlad Van Mechelen | BEL | 2004 | cobbles
Edoardo Zambanini | ITA | 2001 | climber

## Team Jayco–AlUla
Pascal Ackermann | GER | 1994 | sprinter
Koen Bouwman | NED | 1993 | climber
Amaury Capiot | BEL | 1993 | rouleur
Filippo Conca | ITA | 1998 | rouleur
Alessandro Covi | ITA | 1998 | rouleur
Dries De Bondt | BEL | 1991 | cobbles
Dries De Pooter | BEL | 2002 | rouleur
Davide De Pretto | ITA | 2002 | rouleur
Robert Donaldson | GBR | 2002 | rouleur
Paul Double | GBR | 1996 | climber
Luke Durbridge | AUS | 1991 | rouleur
Felix Engelhardt | GER | 2000 | puncheur
Anders Foldager | DEN | 2001 | rouleur
Patrick Gamper | AUT | 1997 | rouleur
Alan Hatherly | RSA | 1996 | puncheur
Asbjørn Hellemose | DEN | 1999 | rouleur
Christopher Juul-Jensen | DEN | 1989 | cobbles
Jelte Krijnsen | NED | 2001 | rouleur
Michael Matthews | AUS | 1990 | puncheur
Hamish McKenzie | AUS | 2004 | tt
Luka Mezgec | SLO | 1988 | sprinter
Kelland O'Brien | AUS | 1998 | rouleur
Ben O'Connor | AUS | 1995 | gc
Finlay Pickering | GBR | 2003 | rouleur
Luke Plapp | AUS | 2000 | tt
Rudy Porter | AUS | 2000 | rouleur
Mauro Schmid | SUI | 1999 | puncheur
Jasha Sütterlin | GER | 1992 | cobbles
Andrea Vendrame | ITA | 1994 | puncheur

## Team Picnic–PostNL
Warren Barguil | FRA | 1991 | puncheur
Frits Biesterbos | NED | 2002 | rouleur
Pavel Bittner | CZE | 2002 | sprinter
Dillon Corkery | IRL | 1999 | rouleur
Timo de Jong | NED | 1999 | rouleur
John Degenkolb | GER | 1989 | cobbles
Robbe Dhondt | BEL | 2004 | rouleur
Matthew Dinham | AUS | 2000 | rouleur
Nils Eekhoff | NED | 1998 | rouleur
Alexy Faure Prost | FRA | 2004 | rouleur
Sean Flynn | GBR | 2000 | puncheur
Mattia Gaffuri | ITA | 1999 | climber
Chris Hamilton | AUS | 1995 | climber
Fabio Jakobsen | NED | 1996 | sprinter
James Knox | GBR | 1995 | climber
Bjoern Koerdt | GBR | 2004 | rouleur
Gijs Leemreize | NED | 1999 | climber
Niklas Märkl | GER | 1999 | sprinter
Juan Guillermo Martínez | COL | 2004 | climber
Tim Naberman | NED | 1999 | rouleur
Oliver Peace | GBR | 2005 | climber
Max Poole | GBR | 2003 | gc
Henri-François Renard-Haquin | FRA | 2002 | rouleur
Timo Roosen | NED | 1993 | rouleur
Julius van den Berg | NED | 1996 | rouleur
Frank van den Broek | NED | 2000 | rouleur
Casper van Uden | NED | 2001 | sprinter
Bram Welten | NED | 1997 | rouleur

## UAE Team Emirates XRG
João Almeida | POR | 1998 | gc
Igor Arrieta | ESP | 2002 | climber
Filippo Baroncini | ITA | 2000 | cobbles
Mikkel Bjerg | DEN | 1998 | tt
Jan Christen | SUI | 2004 | puncheur
Benoît Cosnefroy | FRA | 1995 | puncheur
Isaac del Toro | MEX | 2003 | gc
Felix Großschartner | AUT | 1993 | climber
Rune Herregodts | BEL | 1998 | rouleur
Julius Johansen | DEN | 1999 | tt
Vegard Stake Laengen | NOR | 1989 | rouleur
Brandon McNulty | USA | 1998 | tt
Juan Sebastián Molano | COL | 1994 | sprinter
António Morgado | POR | 2004 | puncheur
Jhonatan Narváez | ECU | 1997 | puncheur
Domen Novak | SLO | 1995 | climber
Ivo Oliveira | POR | 1996 | rouleur
Rui Oliveira | POR | 1996 | rouleur
Adrià Pericas | ESP | 2006 | rouleur
Tadej Pogačar | SLO | 1998 | gc
Nils Politt | GER | 1994 | cobbles
Pavel Sivakov | FRA | 1997 | climber
